Alt,u,v,temp,bv2
23060,-8.07759945580483,-1.76033966263416,0.0822733423544406,0.000769245990835047
23066,-8.27711173002077,-1.59043547827863,0.0710419485790652,0.000768642648716772
23071,-8.46894952139565,-1.58976906828173,0.0598105548036898,-0
23077,-8.56538972195542,-1.4077839731949,0.0485791610283144,0.000771363046184569
23083,-8.457060525221,-1.39873497332632,0.0373477672529461,0.00077075637986922
23089,-8.3500674750883,-1.2153870867726,0.0259810554802797,-0
23095,-8.24146391762787,-1.20862031507734,0.0146143437076063,0.000773491786469754
23101,-8.1325805531889,-1.20200586452496,0.00324763193493993,0.000772881768408757
23106,-8.02204679263225,-1.02635311350138,-0.00811907983772642,-0
23112,-7.91284940607505,-1.02197519220011,-0.0194857916103857,0.00262266739779245
23118,-7.79915019123026,-0.85211542627981,-0.130987821380344,0.00261566737173193
23124,-7.68961448515704,-0.849852901862221,-0.142489851150302,-0
23129,-7.57296953987647,-0.685767540125267,-0.154127198917557,0.000777784710958321
23135,-7.4632631206905,-0.685700844184761,-0.165764546684805,0.000777167905535084
23141,-7.34375781152652,-0.527303046857386,-0.177537212449352,-0
23146,-7.23403525004687,-0.529496605378405,-0.189309878213891,0.00077994909242513
23152,-7.1123142828086,-0.377049314808115,-0.201082543978437,0.000779328850762015
23158,-7.00291813626537,-0.381505025618221,-0.212855209742976,-0
23163,-6.87901517817623,-0.235024683020292,-0.224627875507522,0.00262570097735716
23169,-6.76972600135873,-0.24167876396518,-0.336535859269361,0.00261868477005092
23175,-6.64367986706435,-0.101199847481024,-0.348443843031205,-0
23180,-6.53464442710476,-0.110208799200092,-0.36035182679305,-0
23186,-6.40676923158284,0.024157840646938,-0.372259810554894,0.000784314195243437
23192,-6.37568555563852,0.169970024526897,-0.384167794316738,0.000783686994392081
23197,-6.1685616750771,0.140884940304435,-0.396211096075874,-0
23203,-6.06029161258901,0.127018636010825,-0.408254397835009,0.000786515120547554
23209,-5.92941256348965,0.248784415712246,-0.420433017591435,0.00078588439609803
23214,-5.82163025204338,0.232552959222192,-0.432611637347861,0.00183864915572239
23220,-5.68955586867158,0.348010755038637,-0.544790257104303,0.00262393442550554
23226,-5.58257420812733,0.329270901494279,-0.55710419485802,0.000788094155171561
23232,-5.35208515697553,0.417694281569447,-0.569418132611737,-0.00183520599250953
23237,-5.24605741360779,0.396754096177517,-0.48173207036546,-0.00104769491826292
23243,-5.14034234806986,0.375696009442802,-0.494046008119177,0.000790316376146673
23249,-5.00809192139915,0.475438314884207,-0.506359945872909,-0
23254,-4.90307163366784,0.452316502981061,-0.518809201623917,0.000793192639995748
23260,-4.76996133362332,0.546000548205615,-0.531258457374932,0.00079255116473994
23266,-4.63562111240233,0.635643994591132,-0.54370771312594,-0
23271,-4.43491336746153,0.582636066989046,-0.556156968876948,-0
23277,-4.30050217802536,0.664554266787204,-0.56860622462797,0.000795443747865522
23283,-4.19690711769196,0.635196491344675,-0.581190798376277,0.000794798627866187
23289,-4.06218270656276,0.711234733229925,-0.593775372124576,-0.00183864915572238
23295,-3.92669415463761,0.783101292328379,-0.506359945872887,-0.00104439759360596
23300,-3.82433212384571,0.749830994164124,-0.518944519621186,0.000797058873657491
23306,-3.68883022643466,0.815712764557037,-0.531529093369493,-0
23312,-3.55278176666655,0.87757446776372,-0.544113667117806,0.000799984514775422
23318,-3.4517894767393,0.84057349467032,-0.55683355886341,0.000799332011478129
23323,-3.31599345299117,0.896498297876215,-0.569553450609014,-0
